Date,PeopleInvolved,PersonOfFocus,EventType,EventDescription,OrganizationsInvolved,Location,CommunicationDetails,ClassificationLevel,SourcePage
"4 September 1967; ""TIME OF ARRIVAL NEXT OPERATORS LATE SEPTEMBER""",J. Stewart; Sylvia TREVIO Casparr; William V. Broe; J. Fisher,,,Subject's POA was requested; Suggestion to consider SGSWIRL; Recruitment of Sylvia TREVIO Casparr,Mexico City,,WH/CICS comment regarding actions in Mexico City,"Document marked as ""SECRET"" multiple times; Portions redacted or obscured; For file:",717
1 May through 31 July 1967; 25 May 1967 (Reference date in document); 7 August 1967 (Document date),GRUBE; Oliver G.; SCANLION,,,"26 operational meetings held during the period.; Meetings with LIMEPTY assets including several numbered codes.; GRUBE met with LIMEPTY-9, -10, and -13 on a twice-weekly basis; with LIMEPTY-6 once a week.; SCANLION met with LIMEPTY-9 and -13 twice, and with LIMEPTY-6 once during GRUBEs absence.","Chief of Station, Mexico City",,"Meetings and interactions with LIMEPTY project and related assets, often prearranged and using a code.",Document marked as SECRET.; For file:,718
12 September 1966; 22 September 1966,,,,Extension of Raymond H. Gredde's contract for one year.,"WI Division; Station, Mexico City",,,Secret; For file:,719
10 November 1970; 8 February 1971; 11 February 1971; 17 February 1971 (typed); 12 February 1971 (release date),Ernest A. Pukala; Calvin M. Smyth; Alfonso Spera,,,Operational approval granted on 8 February 1971 for the use of OCITRON-4 as requested in a prior reference.,"Chief, Western Hemisphere Division; Station, Bogota; WH/3/C (Office symbol)",,Document references an operational approval communication.,Classification; Secret; Some document sections have stamp marks indicating potential handling restrictions.; For file:,720
Date of request; 12 Jan 1971; Document date; 1 Aug 1955,"Kaylor Patti; Rodriguez, Rafael Mario",,,,GG-196; WH/3/CO; EXT-5269; Room No. B54,,,"Document classified as ""SECRET""; For file:",721
"December 1, 1913","Emanuel; Alias; ""Manuelito""; Last Name; Machado Llorens",,,,"Place of Birth; Auras, Oriente",,,; For file:; ```plaintext,722
23 January 1968; 12 January 1968,,,,,E/EC/CANADA; C/CI; CI/Liaison; CI/R&A; PID/CSB; E/EC/Canada; State,,,Classification; Secret; ```; For file:,723
1956; November 1960; December 1955; December 1952 to July 1955; 10 November 1960,C. Martin; Major Paul Rochelle; J. W. Jason; Roland Ora Belcher; Kamsieya (co-worker),,,Departure of an unknown individual to Okinawa.; Assignment to RUAW Starcomm as of November 1960.; J. W. Jason's resignation from the TORY job in December 1955.; Interview with Roland Ora Belcher on 10 November 1960.; Occasional visits by Martin to a male Japanese artist-potter.,"RUAW Starcomm (relay station); Ryukyu Island, Okinawa; Paris; New York",,,"Classified as ""S-E-C-R-E-T"".; For file:; ```plaintext",724
Spring 1955 (Spring 55); April 1955 (Apr 55),Martin; John Joseph Casey; Joseph W. Jason; Ara Geusse; Major Paul Rochelle; Potter (indirectly mentioned),,,Martin related events at a large party arranged by a person referred to as Potter.; Martin visited a kiln during the specified time.,Kiln located within 50 miles of Kamiseya; Japan (contacts mentioned),,Liaison with ODENVY and ONI representatives suggested for further details.,,725
1 August 1961; 17 July 1961; 23 June 1961; 10 March 1911; 25 May 1961; 18 July 1961; 3 July 1960,"Horace Teague; MTCircle; William Masticus MARRTA; Nicholas George DAMASCOS; DAMASCOS aka DAMASCOS aka DAMASCOS; Metropolitan (a ship mentioned); Agency; National Security Agency; ""Varian"" (possible code name or term)",,,"Reference to a memorandum dated 17 July 1961.; Nicholas George DAMASCOS was a crew member on a ship arriving in Australia on 25 May 1961.; DAMASCOS departed Australia on 25 May 1961 aboard the ship ""CRISGRAY.""","Federal Bureau of Investigation; National Security Agency; Alexandria, Greece; Melbourne; Sydney, Australia; Nagoya, Japan; Mexico City; Laredo, Texas",,"Communication between representatives in Melbourne and Mexico City.; DAMASCOS associated with the ship ""CRISGRAY.""","Document labeled as ""SECRET.""; Coded references and possible redactions in text.; For file:",726
17 July 1961; 16 June 1961; 23 June 1961; 29 December 1960; Birth date of Jesus Sierra; 12 July 1916,Berson Ferguson Mitchell; William Hamilton Martin; Jesus Sierra,,,"Memorandum reference to communications pertinent to new information.; Communication with National Security Agency on 16 June 1961.; Bureau letter dated 23 June 1961 addressed to the Director, National Security Agency.; Department of Immigration Name Check Request Form for Jesus Sierra dated 23 June 1961.; Memorandum dated 29 December 1960 regarding subject Sierra.","Federal Bureau of Investigation; National Security Agency; Mexican Embassy, Washington, D.C.; United States entry at New Orleans, Louisiana",,,"Document labeled ""SECRET""; For file:",727
7 March; 10 March; 17 March 69,Nagell,,,"Nagell appeared at the Zurich Consulate on the morning of 7 March, threatening to expose the US government if not; satisfied by 5 o'clock that afternoon.; Disappearance of Nagell, with no further communication or publicity.; 10 March; US Consulate in Zurich was informed that Nagell approached the US Consulate in Barcelona with similar threats.",Zurich Consulate; US Consulate Barcelona,,,"Classified as ""SECRET""; For file:",728
12 March 1969,Mary V. Trembis; A. Bern; Director 80955,,,,Zurich; Bern,,,Secret; For file:,729
1815 hours (time noted for an action),Jane Roman; Robert Montgomery,,,Jane Roman was seen at 1815 hours concerning a cable.; Original copy of the cable was passed to Jane Roman to prepare a blind memo for the FBI.,,,Jane Roman communicated with Robert Montgomery.,"Document marked as ""SECRET""; For file:",730
29 June 1973,Subject; 221 300 985,,,,Office of Security; For file:,,,,731
22 June 1962,Jorge Rios Perezalez,,,Request for traces on Jorge Rios Perezalez.,"Paris, Madrid; CI/OPS, TF/W 5, S/C 2",,Communication from a Director to entities in Paris and Madrid.,"Classified as ""SECRET""; For file:",732
30 August 1934 (Date of Birth); 8 September 1966 (Document Date),"Soto-Vasquez, Antonio; William E. Wainwright",,,Request for OA on subject to be canceled due to no further operational interest.; Green List Name Check canceled.,Address; 800 W. Wainwright; Place of Birth,,"Communication directed to Chief, CI/OA","Document marked as ""SECRET""; For file:",733
Document date; 19 Dec 65; Itinerary dates; Depart LEOP; 16 Dec; Arrive Athens; 17 Dec; Madrid; 17-20 Dec; Arrive New York; 20 Dec; Padron arrives Miami; 22 Dec; Soto arrives Miami; 20 Dec,Cecilig Padron; Antonio Soto,,,"Travel itinerary from Athens to Madrid, then New York, leading to Miami on separate dates for Padron and Soto.",LEOP,,"Reference to a communication from LEOP, designated ""CHAPPIE"" with ""WITHRUSH"" as a follow-up detail.","Classified as ""SECRET""; For file:",734
8 December 1965; For file:,,,,,,,,,735
14 December 1965,Edward P. Brown,,,,CI/Operational Approval and Support Division,,,Secret; For file:,736
,,,,"The subject shows a desire to maintain their status, leading to a political motivation described as ""anti-Castro.""; For file:",,,,,737
,,,,,,,,For file:; ```plaintext,738
"May 25, 1965 (date of the contract)",Antonio Soto,,,"Employment acceptance by Antonio Soto for the government of the Republic of the Congo or designated; company/agency.; Basic salary of $1,000 for sixty hours of flying.; Provision for overtime for flight time in excess of sixty hours.",Republic of the Congo,,No specific communications detailed.,None noted; ```; For file:,739
"Memorandum date; 21 May 1965; Event references; 30 March 1964, 29 October 1964, 7 April 1965",George Bali; Antonio Soto Vasquez; Lawrence Murphy,,,Mention of a request concerning eight documents and their significance.; Reference to past granting of POAs (Powers of Attorney) on specified dates.,CI/OA; SOD/AD/OPS/3; RID/RI,,"Memorandum addressed to Chief, CI/OA, from George Bali.; Distribution list includes several internal stakeholders.","Document classified as ""SECRET"".; For file:",740
20 May 1965,"L. Murphy; F. Daly; Bernard J. Finan, Jr.; E. N. Aorn-Patterson",,,Use of Soto as tactical pilot disapproved.; Consider change contract to fixed wing type.; HQs requested progress per Para 4 report.,SOD/AB/OPS/3; Leopoldville,,Message from 'Director' to 'LEOP' and Chappie/Wthrush.',Marked as 'SECRET'.; For file:,741
DOB; 11 December 1931; POA Granted; 19 May 1965,Ernesto Jesus Pefino Reolin,,,,,,,Classification; Secret; For file:,742
4 May 1965; 11 May 1965; Subject's tour; May 1963 to May 1964,Mr. George Ball; Antonio Soto Vasques,,,"Reference to a six-month tour with KUBARK in the Congo, where the subject performed satisfactorily.",CIA (implied by mention of CI/OA and KUBARK); Congo,,Memorandum addressed to CI/OA from Mr. George Ball,"Document marked as ""Secret""; For file:",743
Date Typed; 3 May 65; Date Dispatched; 5 May 65,"Chief, KUSODA; Deputy Chief, WH/Cuba; Chief of Station, JMWAVE; Andrew K. Reuteman",,,Transmission of LCF/LUTTER Results.; Forwarding of reports with cryptonyms related to IRD and 201 numbers.,KUSODA; WH/Cuba; JMWAVE,,Reports and identities are communicated with attachments labeled RYBAT.,"Document classified as ""SECRET.""; Distribution instructions for KUSODA and WH/Cuba with attention to specific attachments.; For file:",744
,Orlando Izquierdo (S); Antonio Soto (S),,,Mention of arrival and local stay; Briefed quarters and rations to be furnished; Training results to be assessed,PRIX; Miami,,Message from Miami,"Classified as ""SECRET""; For file:",745
Depart Miami 27 Apr.,Orlando Izquierdo; Antonio Soto; Chappie Tupagan; Lorentz,,,Orlando Izquierdo and Antonio Soto prepared to depart from Miami.,,,Priority message directive (PRIORITY PNI K INFO DIR CITE WAVE 1084),"Document marked as ""SECRET""; For file:",746
212154Z; O/A 1 MAY,Orlando Izquierdo; Antonio Soto,,,Izquierdo was considered a helicopter candidate but was unable to leave Miami.; Soto prepared for departure around May 1.,Miami; Tupagar training facilities,,Lorenzi in Miami sent the message.,"Classified as ""SECRET""; For file:",747
,Larry Murphy,,,,FI/D (likely an agency or department),,Document appears to be a formal communication directed to Larry Murphy.; For file:,,748
12 April 1965; 29 Oct 1962,Larry Murphy,,,,"F.I.D. (Foreign Intelligence Division); Reference to memo related to WH/4, Op; GL 110510",,,"Redacted sections, some information indicated by placeholders ('XXXXXX').; For file:",749
One year from the above date (specific date not visible).,,,,Proposal to use subject for a specific purpose.; Requirement to maintain an accurate register of cover activity.; Notification of activation to be sent to CCS/IC.,Central Cover Staff (CCS).,,Memorandum communication for advising CCS/IC of activation.,None visible.; For file:,750
8th April 1963,Charlie; Lorentz; Matt; Kapuren,,,Police and credit checks for non-derogatory subjects.; Wave traces and code wire traces for non-derogatory subjects.,"Reference to possible intelligence operations (e.g., ""WAVE"").",,"Communication labeled as a ""Classified Message"" marked ""Secret.""","Document is marked ""SECRET.""; For file:",751
Date; 5 Apr 65,"No specific names, but reference to ""WAVE AND ODEHVY.""",,,"Mentions traces on ""NON-DEROG SUBJ'S 88 AND 87.""; Additional info to follow on ""NON-DEROG SUBJ-69.""","Mentions ""WAVE"" and ""ODEHVY.""; Reference to ""DIR CITE WAVE 0337.""",,"The document is labeled as ""SECRET.""","Marked ""SECRET"" and ""REPRODUCTION PROHIBITED.""; For file:",752
Document date; 21 Mar 65; Dispatch subjected to approval; 26 Mar,"M. Gomez; Chappie Witirush Pbrumen; Desmond Fitzgerald; Bernard J. Finan, Jr.; T. Basket (Telecon); B. Hills (Telecon)",,,"Message form indicates approval and instructions to advise an individual referred to as ""IUPAGAN SUBJ ETA ABQ.""",JM/WAVE; SOD/AB/OPS-3; Albuquerque (ABQ),,Communications between the Director and JM/WAVE via message form.; References to communication through telecon.,"Document marked as ""SECRET.""; Some sections of the document appear to be redacted.; For file:",753
31 March 1967,John McCone; Mitchell L. WerBell; John Greaney; Justin F. Gleichauf,,,Charges against Mitchell L. WerBell have been dropped.,,,"Memo directed to John McCone, Chief of Miami Field Office, regarding information on Mitchell L. WerBell.; Instruction to pass information to John Greaney, Office of General Counsel.",Document is unclassified.; For file:,754
23 January 1967; 24 March 1967,John McConnell; Mitchell L. WerBell; Bart Gonzales; John Groome; Vernon A. Walters,,,Werbell called the Miami office on 23 January 1967.; Advised that federal charges against Bart Gonzales had been dropped.,Domestic Contact Service; Miami Field Office; Office of the General Counsel,,Werbell communicated with the Miami office.; John Groome to be advised of developments.,"Document marked ""Confidential""; Classification reference ""F-12-75-00""; For file:",755
21 Feb 67; 23 Feb 67; 1.12.7900,John Hockwell; Mitchell; Bell; Amy Gonzales; Chet Gray,,,Telephone calls on 21 Feb and 23 Feb 67 regarding an alleged assassination attempt.; Mitchell (via Bell) called Amy Gonzales to advise about phone calls from Chet Gray expressing concern over the alleged; assassination attempt.,"Beverly Hills; Address; 927 South Canby Drive, Beverly Hills, Telephone 274-49228",,Mitchell communicated with Amy Gonzales via Bell.; Chet Gray communicated with Mitchell.,"Document marked as ""SECRET""; Partial redactions in the document.; For file:",756
